Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
0.1	Src4	0	dev[3]=net(0,3-8)	OutNacks	0	0	0	0
0.1	Src4	0	dev[3]=net(0,3-8)	DropNacks	0	0	0	0
0.1	Src4	0	dev[3]=net(0,3-8)	InData	64	80.2422	8	10.0303
0.1	Src4	0	dev[3]=net(0,3-8)	OutData	0	0	0	0
0.1	Src4	0	dev[3]=net(0,3-8)	DropData	0	0	0	0
0.1	Src4	0	dev[3]=net(0,3-8)	InSatisfiedInterests	0	0	0	0
0.1	Src4	0	dev[3]=net(0,3-8)	InTimedOutInterests	0	0	0	0
0.1	Src4	0	dev[3]=net(0,3-8)	OutSatisfiedInterests	64	0	8	0
0.1	Src4	0	dev[3]=net(0,3-8)	OutTimedOutInterests	0	0	0	0
0.1	Src4	2	dev=local(2)	InInterests	160	0	20	0
0.1	Src4	2	dev=local(2)	OutInterests	0	0	0	0
0.1	Src4	2	dev=local(2)	DropInterests	0	0	0	0
0.1	Src4	2	dev=local(2)	InNacks	0	0	0	0
0.1	Src4	2	dev=local(2)	OutNacks	0	0	0	0
0.1	Src4	2	dev=local(2)	DropNacks	0	0	0	0
0.1	Src4	2	dev=local(2)	InData	0	0	0	0
0.1	Src4	2	dev=local(2)	OutData	64	0	8	0
0.1	Src4	2	dev=local(2)	DropData	0	0	0	0
0.1	Src4	2	dev=local(2)	InSatisfiedInterests	64	0	8	0
0.1	Src4	2	dev=local(2)	InTimedOutInterests	0	0	0	0
0.1	Src4	2	dev=local(2)	OutSatisfiedInterests	0	0	0	0
0.1	Src4	2	dev=local(2)	OutTimedOutInterests	0	0	0	0
0.1	Src4	-1	all	SatisfiedInterests	64	0	8	0
0.1	Src4	-1	all	TimedOutInterests	0	0	0	0
0.1	Src5	0	dev[4]=net(0,4-10)	InInterests	0	0	0	0
0.1	Src5	0	dev[4]=net(0,4-10)	OutInterests	160	4.36719	20	0.545898
0.1	Src5	0	dev[4]=net(0,4-10)	DropInterests	0	0	0	0
0.1	Src5	0	dev[4]=net(0,4-10)	InNacks	0	0	0	0
0.1	Src5	0	dev[4]=net(0,4-10)	OutNacks	0	0	0	0
0.1	Src5	0	dev[4]=net(0,4-10)	DropNacks	0	0	0	0
0.1	Src5	0	dev[4]=net(0,4-10)	InData	152	190.586	19	23.8232
0.1	Src5	0	dev[4]=net(0,4-10)	OutData	0	0	0	0
0.1	Src5	0	dev[4]=net(0,4-10)	DropData	0	0	0	0
0.1	Src5	0	dev[4]=net(0,4-10)	InSatisfiedInterests	0	0	0	0
0.1	Src5	0	dev[4]=net(0,4-10)	InTimedOutInterests	0	0	0	0
0.1	Src5	0	dev[4]=net(0,4-10)	OutSatisfiedInterests	152	0	19	0
0.1	Src5	0	dev[4]=net(0,4-10)	OutTimedOutInterests	0	0	0	0
0.1	Src5	1	dev=local(1)	InInterests	160	0	20	0
0.1	Src5	1	dev=local(1)	OutInterests	0	0	0	0
0.1	Src5	1	dev=local(1)	DropInterests	0	0	0	0
0.1	Src5	1	dev=local(1)	InNacks	0	0	0	0
0.1	Src5	1	dev=local(1)	OutNacks	0	0	0	0
0.1	Src5	1	dev=local(1)	DropNacks	0	0	0	0
0.1	Src5	1	dev=local(1)	InData	0	0	0	0
0.1	Src5	1	dev=local(1)	OutData	152	0	19	0
0.1	Src5	1	dev=local(1)	DropData	0	0	0	0
0.1	Src5	1	dev=local(1)	InSatisfiedInterests	152	0	19	0
0.1	Src5	1	dev=local(1)	InTimedOutInterests	0	0	0	0
0.1	Src5	1	dev=local(1)	OutSatisfiedInterests	0	0	0	0
0.1	Src5	1	dev=local(1)	OutTimedOutInterests	0	0	0	0
0.1	Src5	-1	all	SatisfiedInterests	152	0	19	0
0.1	Src5	-1	all	TimedOutInterests	0	0	0	0
0.1	Rtr1	0	dev[5]=net(0,0-5)	InInterests	160	4.36719	20	0.545898
0.1	Rtr1	0	dev[5]=net(0,0-5)	OutInterests	0	0	0	0
0.1	Rtr1	0	dev[5]=net(0,0-5)	DropInterests	0	0	0	0
0.1	Rtr1	0	dev[5]=net(0,0-5)	InNacks	0	0	0	0
