Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes
0.1	Rtr3	-1	all	TimedOutInterests	0	0
0.1	Rtr4	0	dev[5]=net(0,4-5)	InInterests	16	0.436523
0.1	Rtr4	0	dev[5]=net(0,4-5)	OutInterests	0	0
0.1	Rtr4	0	dev[5]=net(0,4-5)	DropInterests	0	0
0.1	Rtr4	0	dev[5]=net(0,4-5)	InNacks	0	0
0.1	Rtr4	0	dev[5]=net(0,4-5)	OutNacks	0	0
0.1	Rtr4	0	dev[5]=net(0,4-5)	DropNacks	0	0
0.1	Rtr4	0	dev[5]=net(0,4-5)	InData	0	0
0.1	Rtr4	0	dev[5]=net(0,4-5)	OutData	3	3.76074
0.1	Rtr4	0	dev[5]=net(0,4-5)	DropData	0	0
0.1	Rtr4	1	dev[5]=net(1,5-10)	InInterests	0	0
0.1	Rtr4	1	dev[5]=net(1,5-10)	OutInterests	16	0.436523
0.1	Rtr4	1	dev[5]=net(1,5-10)	DropInterests	0	0
0.1	Rtr4	1	dev[5]=net(1,5-10)	InNacks	0	0
0.1	Rtr4	1	dev[5]=net(1,5-10)	OutNacks	0	0
0.1	Rtr4	1	dev[5]=net(1,5-10)	DropNacks	0	0
0.1	Rtr4	1	dev[5]=net(1,5-10)	InData	3	3.76074
0.1	Rtr4	1	dev[5]=net(1,5-10)	OutData	0	0
0.1	Rtr4	1	dev[5]=net(1,5-10)	DropData	0	0
0.1	Rtr4	-1	all	SatisfiedInterests	3	0
0.1	Rtr4	-1	all	TimedOutInterests	0	0
0.1	Rtr5	0	dev[6]=net(0,1-6)	InInterests	19	0.518555
0.1	Rtr5	0	dev[6]=net(0,1-6)	OutInterests	0	0
0.1	Rtr5	0	dev[6]=net(0,1-6)	DropInterests	0	0
0.1	Rtr5	0	dev[6]=net(0,1-6)	InNacks	0	0
0.1	Rtr5	0	dev[6]=net(0,1-6)	OutNacks	0	0
0.1	Rtr5	0	dev[6]=net(0,1-6)	DropNacks	0	0
0.1	Rtr5	0	dev[6]=net(0,1-6)	InData	0	0
0.1	Rtr5	0	dev[6]=net(0,1-6)	OutData	0	0
0.1	Rtr5	0	dev[6]=net(0,1-6)	DropData	0	0
0.1	Rtr5	1	dev[6]=net(1,6-7)	InInterests	0	0
0.1	Rtr5	1	dev[6]=net(1,6-7)	OutInterests	19	0.518555
0.1	Rtr5	1	dev[6]=net(1,6-7)	DropInterests	0	0
0.1	Rtr5	1	dev[6]=net(1,6-7)	InNacks	0	0
0.1	Rtr5	1	dev[6]=net(1,6-7)	OutNacks	0	0
0.1	Rtr5	1	dev[6]=net(1,6-7)	DropNacks	0	0
0.1	Rtr5	1	dev[6]=net(1,6-7)	InData	0	0
0.1	Rtr5	1	dev[6]=net(1,6-7)	OutData	0	0
0.1	Rtr5	1	dev[6]=net(1,6-7)	DropData	0	0
0.1	Rtr6	0	dev[7]=net(0,6-7)	InInterests	18	0.491211
0.1	Rtr6	0	dev[7]=net(0,6-7)	OutInterests	0	0
0.1	Rtr6	0	dev[7]=net(0,6-7)	DropInterests	0	0
0.1	Rtr6	0	dev[7]=net(0,6-7)	InNacks	0	0
0.1	Rtr6	0	dev[7]=net(0,6-7)	OutNacks	0	0
0.1	Rtr6	0	dev[7]=net(0,6-7)	DropNacks	0	0
0.1	Rtr6	0	dev[7]=net(0,6-7)	InData	0	0
0.1	Rtr6	0	dev[7]=net(0,6-7)	OutData	0	0
0.1	Rtr6	0	dev[7]=net(0,6-7)	DropData	0	0
0.1	Rtr6	1	dev[7]=net(1,7-8)	InInterests	0	0
0.1	Rtr6	1	dev[7]=net(1,7-8)	OutInterests	18	0.491211
0.1	Rtr6	1	dev[7]=net(1,7-8)	DropInterests	0	0
0.1	Rtr6	1	dev[7]=net(1,7-8)	InNacks	0	0
0.1	Rtr6	1	dev[7]=net(1,7-8)	OutNacks	0	0
0.1	Rtr6	1	dev[7]=net(1,7-8)	DropNacks	0	0
0.1	Rtr6	1	dev[7]=net(1,7-8)	InData	0	0
0.1	Rtr6	1	dev[7]=net(1,7-8)	OutData	0	0
0.1	Rtr6	1	dev[7]=net(1,7-8)	DropData	0	0
0.1	Rtr7	0	dev[8]=net(0,7-8)	InInterests	17	0.463867
0.1	Rtr7	0	dev[8]=net(0,7-8)	OutInterests	0	0
0.1	Rtr7	0	dev[8]=net(0,7-8)	DropInterests	0	0
0.1	Rtr7	0	dev[8]=net(0,7-8)	InNacks	0	0
0.1	Rtr7	0	dev[8]=net(0,7-8)	OutNacks	0	0
0.1	Rtr7	0	dev[8]=net(0,7-8)	DropNacks	0	0
0.1	Rtr7	0	dev[8]=net(0,7-8)	InData	0	0
0.1	Rtr7	0	dev[8]=net(0,7-8)	OutData	0	0
0.1	Rtr7	0	dev[8]=net(0,7-8)	DropData	0	0
0.1	Rtr7	1	dev[8]=net(1,8-9)	InInterests	0	0
0.1	Rtr7	1	dev[8]=net(1,8-9)	OutInterests	17	0.463867
0.1	Rtr7	1	dev[8]=net(1,8-9)	DropInterests	0	0
0.1	Rtr7	1	dev[8]=net(1,8-9)	InNacks	0	0
0.1	Rtr7	1	dev[8]=net(1,8-9)	OutNacks	0	0
0.1	Rtr7	1	dev[8]=net(1,8-9)	DropNacks	0	0
0.1	Rtr7	1	dev[8]=net(1,8-9)	InData	0	0
0.1	Rtr7	1	dev[8]=net(1,8-9)	OutData	0	0
0.1	Rtr7	1	dev[8]=net(1,8-9)	DropData	0	0
0.1	Rtr8	0	dev[9]=net(0,8-9)	InInterests	16	0.436523
0.1	Rtr8	0	dev[9]=net(0,8-9)	OutInterests	0	0
0.1	Rtr8	0	dev[9]=net(0,8-9)	DropInterests	0	0
0.1	Rtr8	0	dev[9]=net(0,8-9)	InNacks	0	0
0.1	Rtr8	0	dev[9]=net(0,8-9)	OutNacks	0	0
0.1	Rtr8	0	dev[9]=net(0,8-9)	DropNacks	0	0
0.1	Rtr8	0	dev[9]=net(0,8-9)	InData	0	0
0.1	Rtr8	0	dev[9]=net(0,8-9)	OutData	1	1.25293
0.1	Rtr8	0	dev[9]=net(0,8-9)	DropData	0	0
0.1	Rtr8	1	dev[9]=net(1,9-10)	InInterests	0	0
0.1	Rtr8	1	dev[9]=net(1,9-10)	OutInterests	16	0.436523
0.1	Rtr8	1	dev[9]=net(1,9-10)	DropInterests	0	0
0.1	Rtr8	1	dev[9]=net(1,9-10)	InNacks	0	0
0.1	Rtr8	1	dev[9]=net(1,9-10)	OutNacks	0	0
0.1	Rtr8	1	dev[9]=net(1,9-10)	DropNacks	0	0
0.1	Rtr8	1	dev[9]=net(1,9-10)	InData	1	1.25293
0.1	Rtr8	1	dev[9]=net(1,9-10)	OutData	0	0
0.1	Rtr8	1	dev[9]=net(1,9-10)	DropData	0	0
0.1	Rtr8	-1	all	SatisfiedInterests	1	0
0.1	Rtr8	-1	all	TimedOutInterests	0	0
0.1	Rtr9	0	dev[10]=net(0,5-10)	InInterests	15	0.40918
0.1	Rtr9	0	dev[10]=net(0,5-10)	OutInterests	0	0
0.1	Rtr9	0	dev[10]=net(0,5-10)	DropInterests	0	0
0.1	Rtr9	0	dev[10]=net(0,5-10)	InNacks	0	0
0.1	Rtr9	0	dev[10]=net(0,5-10)	OutNacks	0	0
0.1	Rtr9	0	dev[10]=net(0,5-10)	DropNacks	0	0
0.1	Rtr9	0	dev[10]=net(0,5-10)	InData	0	0
0.1	Rtr9	0	dev[10]=net(0,5-10)	OutData	4	5.01465
0.1	Rtr9	0	dev[10]=net(0,5-10)	DropData	0	0
0.1	Rtr9	1	dev[10]=net(1,9-10)	InInterests	15	0.40918
0.1	Rtr9	1	dev[10]=net(1,9-10)	OutInterests	0	0
0.1	Rtr9	1	dev[10]=net(1,9-10)	DropInterests	0	0
0.1	Rtr9	1	dev[10]=net(1,9-10)	InNacks	0	0
0.1	Rtr9	1	dev[10]=net(1,9-10)	OutNacks	0	0
0.1	Rtr9	1	dev[10]=net(1,9-10)	DropNacks	0	0
0.1	Rtr9	1	dev[10]=net(1,9-10)	InData	0	0
0.1	Rtr9	1	dev[10]=net(1,9-10)	OutData	4	5.01465
0.1	Rtr9	1	dev[10]=net(1,9-10)	DropData	0	0
0.1	Rtr9	2	dev[10]=net(2,10-11)	InInterests	0	0
0.1	Rtr9	2	dev[10]=net(2,10-11)	OutInterests	15	0.40918
0.1	Rtr9	2	dev[10]=net(2,10-11)	DropInterests	0	0
0.1	Rtr9	2	dev[10]=net(2,10-11)	InNacks	0	0
0.1	Rtr9	2	dev[10]=net(2,10-11)	OutNacks	0	0
0.1	Rtr9	2	dev[10]=net(2,10-11)	DropNacks	0	0
0.1	Rtr9	2	dev[10]=net(2,10-11)	InData	4	5.01465
0.1	Rtr9	2	dev[10]=net(2,10-11)	OutData	0	0
0.1	Rtr9	2	dev[10]=net(2,10-11)	DropData	0	0
0.1	Rtr9	3	dev[10]=net(3,10-15)	InInterests	0	0
0.1	Rtr9	3	dev[10]=net(3,10-15)	OutInterests	15	0.40918
0.1	Rtr9	3	dev[10]=net(3,10-15)	DropInterests	0	0
0.1	Rtr9	3	dev[10]=net(3,10-15)	InNacks	0	0
0.1	Rtr9	3	dev[10]=net(3,10-15)	OutNacks	0	0
0.1	Rtr9	3	dev[10]=net(3,10-15)	DropNacks	0	0
0.1	Rtr9	3	dev[10]=net(3,10-15)	InData	4	5.01465
0.1	Rtr9	3	dev[10]=net(3,10-15)	OutData	0	0
0.1	Rtr9	3	dev[10]=net(3,10-15)	DropData	0	0
0.1	Rtr9	-1	all	SatisfiedInterests	8	0
0.1	Rtr9	-1	all	TimedOutInterests	0	0
0.1	Rtr10	0	dev[11]=net(0,10-11)	InInterests	14	0.381836
0.1	Rtr10	0	dev[11]=net(0,10-11)	OutInterests	0	0
0.1	Rtr10	0	dev[11]=net(0,10-11)	DropInterests	0	0
0.1	Rtr10	0	dev[11]=net(0,10-11)	InNacks	0	0
0.1	Rtr10	0	dev[11]=net(0,10-11)	OutNacks	0	0
0.1	Rtr10	0	dev[11]=net(0,10-11)	DropNacks	0	0
0.1	Rtr10	0	dev[11]=net(0,10-11)	InData	0	0
0.1	Rtr10	0	dev[11]=net(0,10-11)	OutData	6	7.52246
0.1	Rtr10	0	dev[11]=net(0,10-11)	DropData	0	0
0.1	Rtr10	1	dev[11]=net(1,11-12)	InInterests	0	0
0.1	Rtr10	1	dev[11]=net(1,11-12)	OutInterests	14	0.381836
0.1	Rtr10	1	dev[11]=net(1,11-12)	DropInterests	0	0
0.1	Rtr10	1	dev[11]=net(1,11-12)	InNacks	0	0
0.1	Rtr10	1	dev[11]=net(1,11-12)	OutNacks	0	0
0.1	Rtr10	1	dev[11]=net(1,11-12)	DropNacks	0	0
0.1	Rtr10	1	dev[11]=net(1,11-12)	InData	6	7.52246
0.1	Rtr10	1	dev[11]=net(1,11-12)	OutData	0	0
0.1	Rtr10	1	dev[11]=net(1,11-12)	DropData	0	0
0.1	Rtr10	-1	all	SatisfiedInterests	6	0
0.1	Rtr10	-1	all	TimedOutInterests	0	0
0.1	Rtr11	0	dev[12]=net(0,11-12)	InInterests	13	0.354492
