Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
0.22	Dst2	combined	Drop	0	0	0	0
0.23	Src1	combined	Drop	0	0	0	0
0.23	Src2	combined	Drop	0	0	0	0
0.23	Rtr1	combined	Drop	0	0	0	0
0.23	Rtr2	combined	Drop	0	0	0	0
0.23	Dst1	combined	Drop	0	0	0	0
0.23	Dst2	combined	Drop	0	0	0	0
0.24	Src1	combined	Drop	0	0	0	0
0.24	Src2	combined	Drop	0	0	0	0
0.24	Rtr1	combined	Drop	0	0	0	0
0.24	Rtr2	combined	Drop	0	0	0	0
0.24	Dst1	combined	Drop	0	0	0	0
0.24	Dst2	combined	Drop	0	0	0	0
0.25	Src1	combined	Drop	0	0	0	0
0.25	Src2	combined	Drop	0	0	0	0
0.25	Rtr1	combined	Drop	0	0	0	0
0.25	Rtr2	combined	Drop	0	0	0	0
0.25	Dst1	combined	Drop	0	0	0	0
0.25	Dst2	combined	Drop	0	0	0	0
0.26	Src1	combined	Drop	0	0	0	0
0.26	Src2	combined	Drop	0	0	0	0
0.26	Rtr1	combined	Drop	0	0	0	0
0.26	Rtr2	combined	Drop	0	0	0	0
0.26	Dst1	combined	Drop	0	0	0	0
0.26	Dst2	combined	Drop	0	0	0	0
0.27	Src1	combined	Drop	0	0	0	0
0.27	Src2	combined	Drop	0	0	0	0
0.27	Rtr1	combined	Drop	0	0	0	0
0.27	Rtr2	combined	Drop	0	0	0	0
0.27	Dst1	combined	Drop	0	0	0	0
0.27	Dst2	combined	Drop	0	0	0	0
0.28	Src1	combined	Drop	0	0	0	0
0.28	Src2	combined	Drop	0	0	0	0
0.28	Rtr1	combined	Drop	0	0	0	0
0.28	Rtr2	combined	Drop	0	0	0	0
0.28	Dst1	combined	Drop	0	0	0	0
0.28	Dst2	combined	Drop	0	0	0	0
0.29	Src1	combined	Drop	0	0	0	0
0.29	Src2	combined	Drop	0	0	0	0
0.29	Rtr1	combined	Drop	0	0	0	0
0.29	Rtr2	combined	Drop	0	0	0	0
0.29	Dst1	combined	Drop	0	0	0	0
0.29	Dst2	combined	Drop	0	0	0	0
0.3	Src1	combined	Drop	0	0	0	0
0.3	Src2	combined	Drop	0	0	0	0
0.3	Rtr1	combined	Drop	0	0	0	0
0.3	Rtr2	combined	Drop	0	0	0	0
0.3	Dst1	combined	Drop	0	0	0	0
0.3	Dst2	combined	Drop	0	0	0	0
0.31	Src1	combined	Drop	0	0	0	0
0.31	Src2	combined	Drop	0	0	0	0
0.31	Rtr1	combined	Drop	0	0	0	0
0.31	Rtr2	combined	Drop	0	0	0	0
0.31	Dst1	combined	Drop	0	0	0	0
0.31	Dst2	combined	Drop	0	0	0	0
0.32	Src1	combined	Drop	0	0	0	0
0.32	Src2	combined	Drop	0	0	0	0
0.32	Rtr1	combined	Drop	0	0	0	0
0.32	Rtr2	combined	Drop	0	0	0	0
0.32	Dst1	combined	Drop	0	0	0	0
0.32	Dst2	combined	Drop	0	0	0	0
0.33	Src1	combined	Drop	0	0	0	0
0.33	Src2	combined	Drop	0	0	0	0
0.33	Rtr1	combined	Drop	0	0	0	0
0.33	Rtr2	combined	Drop	0	0	0	0
0.33	Dst1	combined	Drop	0	0	0	0
0.33	Dst2	combined	Drop	0	0	0	0
0.34	Src1	combined	Drop	0	0	0	0
0.34	Src2	combined	Drop	0	0	0	0
0.34	Rtr1	combined	Drop	0	0	0	0
0.34	Rtr2	combined	Drop	0	0	0	0
0.34	Dst1	combined	Drop	0	0	0	0
0.34	Dst2	combined	Drop	0	0	0	0
0.35	Src1	combined	Drop	0	0	0	0
0.35	Src2	combined	Drop	0	0	0	0
0.35	Rtr1	combined	Drop	0	0	0	0
0.35	Rtr2	combined	Drop	0	0	0	0
0.35	Dst1	combined	Drop	0	0	0	0
0.35	Dst2	combined	Drop	0	0	0	0
0.36	Src1	combined	Drop	0	0	0	0
0.36	Src2	combined	Drop	0	0	0	0
0.36	Rtr1	combined	Drop	0	0	0	0
0.36	Rtr2	combined	Drop	0	0	0	0
0.36	Dst1	combined	Drop	0	0	0	0
0.36	Dst2	combined	Drop	0	0	0	0
0.37	Src1	combined	Drop	0	0	0	0
0.37	Src2	combined	Drop	0	0	0	0
0.37	Rtr1	combined	Drop	0	0	0	0
0.37	Rtr2	combined	Drop	0	0	0	0
0.37	Dst1	combined	Drop	0	0	0	0
0.37	Dst2	combined	Drop	0	0	0	0
0.38	Src1	combined	Drop	0	0	0	0
0.38	Src2	combined	Drop	0	0	0	0
0.38	Rtr1	combined	Drop	0	0	0	0
0.38	Rtr2	combined	Drop	0	0	0	0
0.38	Dst1	combined	Drop	0	0	0	0
0.38	Dst2	combined	Drop	0	0	0	0
0.39	Src1	combined	Drop	0	0	0	0
0.39	Src2	combined	Drop	0	0	0	0
0.39	Rtr1	combined	Drop	0	0	0	0
0.39	Rtr2	combined	Drop	0	0	0	0
0.39	Dst1	combined	Drop	0	0	0	0
0.39	Dst2	combined	Drop	0	0	0	0
0.4	Src1	combined	Drop	0	0	0	0
0.4	Src2	combined	Drop	0	0	0	0
0.4	Rtr1	combined	Drop	0	0	0	0
0.4	Rtr2	combined	Drop	0	0	0	0
0.4	Dst1	combined	Drop	0	0	0	0
0.4	Dst2	combined	Drop	0	0	0	0
0.41	Src1	combined	Drop	0	0	0	0
0.41	Src2	combined	Drop	0	0	0	0
0.41	Rtr1	combined	Drop	0	0	0	0
0.41	Rtr2	combined	Drop	0	0	0	0
0.41	Dst1	combined	Drop	0	0	0	0
0.41	Dst2	combined	Drop	0	0	0	0
0.42	Src1	combined	Drop	0	0	0	0
0.42	Src2	combined	Drop	0	0	0	0
0.42	Rtr1	combined	Drop	0	0	0	0
0.42	Rtr2	combined	Drop	0	0	0	0
0.42	Dst1	combined	Drop	0	0	0	0
0.42	Dst2	combined	Drop	0	0	0	0
0.43	Src1	combined	Drop	0	0	0	0
0.43	Src2	combined	Drop	0	0	0	0
0.43	Rtr1	combined	Drop	0	0	0	0
0.43	Rtr2	combined	Drop	0	0	0	0
0.43	Dst1	combined	Drop	0	0	0	0
0.43	Dst2	combined	Drop	0	0	0	0
0.44	Src1	combined	Drop	0	0	0	0
